sno,occupation_title,nco_2015,nco_2004,division,subdivision,group,family,description,embed_data
11,Executive Chef,1120.31,1217.3,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"Executive Chef coordinates kitchen staff, directs training, and oversees food preparation in hotels or restaurants. They plan menus, manage food surpluses, and estimate costs. They also supervise cooking processes, ensuring efficient food production, and control menu prices.","The occupation Executive Chef NCO 2015: 1120.3100, NCO 2004: 1217.30 belongs to division Managers, subdivision Chief Executives, Senior Officials and Legislators, group Managing Directors and Chief Executives, and family Managing Directors and Chief Executives. Description: Executive Chef coordinates kitchen staff, directs training, and oversees food preparation in hotels or restaurants. They plan menus, manage food surpluses, and estimate costs. They also supervise cooking processes, ensuring efficient food production, and control menu prices."
12,"Director, Well Drilling",1120.16,1213.8,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"Well Pulling Supervisor: This role involves supervising well operations, specifically focusing on well pulling and repair. The supervisor ensures proper equipment and materials are provided to well operators, guides crew on hoisting operations, and clears wells of mud and water. They measure well depth and fluid levels, manage equipment, and report any irregularities to authorities.  The main focus is on well maintenance and operation.","The occupation Director, Well Drilling NCO 2015: 1120.1600, NCO 2004: 1213.80 belongs to division Managers, subdivision Chief Executives, Senior Officials and Legislators, group Managing Directors and Chief Executives, and family Managing Directors and Chief Executives. Description: Well Pulling Supervisor: This role involves supervising well operations, specifically focusing on well pulling and repair. The supervisor ensures proper equipment and materials are provided to well operators, guides crew on hoisting operations, and clears wells of mud and water. They measure well depth and fluid levels, manage equipment, and report any irregularities to authorities.  The main focus is on well maintenance and operation."
13,"Working Proprietor, Recreation and Entertainment",1120.32,1218.1,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"Working Proprietor, Recreation and Entertainment manages a restaurant operation, overseeing all aspects of its business, including film production, entertainment shows, carnivals, and recreational activities. The role involves planning, organizing, and controlling the restaurant’s activities to generate revenue through entertainment and services. This includes supervising staff, ensuring operational standards are met, and managing the overall business.","The occupation Working Proprietor, Recreation and Entertainment NCO 2015: 1120.3200, NCO 2004: 1218.10 belongs to division Managers, subdivision Chief Executives, Senior Officials and Legislators, group Managing Directors and Chief Executives, and family Managing Directors and Chief Executives. Description: Working Proprietor, Recreation and Entertainment manages a restaurant operation, overseeing all aspects of its business, including film production, entertainment shows, carnivals, and recreational activities. The role involves planning, organizing, and controlling the restaurant’s activities to generate revenue through entertainment and services. This includes supervising staff, ensuring operational standards are met, and managing the overall business."
14,"Working Proprietor, Electricity",1120.01,1211.1,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"Working Proprietor, Electricity plans, organizes and controls activities related to electricity businesses. They work under supervision, adhering to established guidelines and directives from a board of directors. Their primary responsibilities include managing and overseeing operations within defined boundaries.","The occupation Working Proprietor, Electricity NCO 2015: 1120.0100, NCO 2004: 1211.10 belongs to division Managers, subdivision Chief Executives, Senior Officials and Legislators, group Managing Directors and Chief Executives, and family Managing Directors and Chief Executives. Description: Working Proprietor, Electricity plans, organizes and controls activities related to electricity businesses. They work under supervision, adhering to established guidelines and directives from a board of directors. Their primary responsibilities include managing and overseeing operations within defined boundaries."
15,"Working Proprietor, Manufacturing/Proprietor, Manufacturing",1120.17,1214.1,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"Managing Director, Manufacturing/Proprietor. This role involves overseeing manufacturing operations, assisting Machine Operators and Assemblers, and performing product sorting and assembly. The core responsibilities include weighing, packing, labeling, and inspecting materials for storage or transportation.  The position requires a combination of manual labor, quality control, and operational management.","The occupation Working Proprietor, Manufacturing/Proprietor, Manufacturing NCO 2015: 1120.1700, NCO 2004: 1214.10 belongs to division Managers, subdivision Chief Executives, Senior Officials and Legislators, group Managing Directors and Chief Executives, and family Managing Directors and Chief Executives. Description: Managing Director, Manufacturing/Proprietor. This role involves overseeing manufacturing operations, assisting Machine Operators and Assemblers, and performing product sorting and assembly. The core responsibilities include weighing, packing, labeling, and inspecting materials for storage or transportation.  The position requires a combination of manual labor, quality control, and operational management."
16,"Director, Recreation and Entertainment",1120.33,1218.2,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"Director, Recreation and Entertainment selects locations for outdoor filming, overseeing set construction and staff coordination. This role includes managing film production, overseeing financial aspects like staff payments and equipment procurement, and potentially directing specific types of films or performances.","The occupation Director, Recreation and Entertainment NCO 2015: 1120.3300, NCO 2004: 1218.20 belongs to division Managers, subdivision Chief Executives, Senior Officials and Legislators, group Managing Directors and Chief Executives, and family Managing Directors and Chief Executives. Description: Director, Recreation and Entertainment selects locations for outdoor filming, overseeing set construction and staff coordination. This role includes managing film production, overseeing financial aspects like staff payments and equipment procurement, and potentially directing specific types of films or performances."
17,"Working Proprietor, Gas",1120.02,1211.2,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"Working Proprietor, Gas is responsible for overseeing the operations of a restaurant, including managing staff, ensuring food safety and sanitation standards are met, and supervising kitchen and storage operations. The role involves planning and executing entertainment and recreational activities, such as shows and events, while ensuring the restaurant’s overall health and compliance with nutrition and sanitation regulations. It’s a leadership position focused on business management and operational control within a restaurant setting.","The occupation Working Proprietor, Gas NCO 2015: 1120.0200, NCO 2004: 1211.20 belongs to division Managers, subdivision Chief Executives, Senior Officials and Legislators, group Managing Directors and Chief Executives, and family Managing Directors and Chief Executives. Description: Working Proprietor, Gas is responsible for overseeing the operations of a restaurant, including managing staff, ensuring food safety and sanitation standards are met, and supervising kitchen and storage operations. The role involves planning and executing entertainment and recreational activities, such as shows and events, while ensuring the restaurant’s overall health and compliance with nutrition and sanitation regulations. It’s a leadership position focused on business management and operational control within a restaurant setting."
18,Director Manufacturing,1120.18,1214.2,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"Manufacturing Supervisor is responsible for overseeing various plastic product manufacturing processes. This role involves supervising production teams, ensuring adherence to specifications, managing materials and equipment, and conducting trial production to verify product quality. The supervisor ensures proper machine operation and maintains records related to production and material usage.","The occupation Director Manufacturing NCO 2015: 1120.1800, NCO 2004: 1214.20 belongs to division Managers, subdivision Chief Executives, Senior Officials and Legislators, group Managing Directors and Chief Executives, and family Managing Directors and Chief Executives. Description: Manufacturing Supervisor is responsible for overseeing various plastic product manufacturing processes. This role involves supervising production teams, ensuring adherence to specifications, managing materials and equipment, and conducting trial production to verify product quality. The supervisor ensures proper machine operation and maintains records related to production and material usage."
19,"station Director, Radio/TV",1120.34,1218.3,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"Director, Radio/TV Station, overseeing sales and marketing efforts for the station. This role involves promoting television programs and time periods to advertisers and agencies. The Director collaborates with senior management to establish and maintain station policies, budget management, and negotiation with motion picture companies for film purchases. They also develop strategies to increase sales of new cable services and international broadcasting opportunities.","The occupation station Director, Radio/TV NCO 2015: 1120.3400, NCO 2004: 1218.30 belongs to division Managers, subdivision Chief Executives, Senior Officials and Legislators, group Managing Directors and Chief Executives, and family Managing Directors and Chief Executives. Description: Director, Radio/TV Station, overseeing sales and marketing efforts for the station. This role involves promoting television programs and time periods to advertisers and agencies. The Director collaborates with senior management to establish and maintain station policies, budget management, and negotiation with motion picture companies for film purchases. They also develop strategies to increase sales of new cable services and international broadcasting opportunities."
20,"Working Proprietor, Water Supply",1120.03,1211.3,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"Water Carrier: This role involves collecting and transporting water for various purposes, including drinking, washing, and cleaning. They gather water from wells, rivers, ponds, and taps and deliver it to clients’ homes and businesses. They also maintain water storage and supply, often working full-time or part-time.","The occupation Working Proprietor, Water Supply NCO 2015: 1120.0300, NCO 2004: 1211.30 belongs to division Managers, subdivision Chief Executives, Senior Officials and Legislators, group Managing Directors and Chief Executives, and family Managing Directors and Chief Executives. Description: Water Carrier: This role involves collecting and transporting water for various purposes, including drinking, washing, and cleaning. They gather water from wells, rivers, ponds, and taps and deliver it to clients’ homes and businesses. They also maintain water storage and supply, often working full-time or part-time."
21,"Working Proprietor, Wholesale Trade/Proprietor, Wholesale Trade",1120.19,1214.3,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"Working Proprietor, Wholesale Trade focuses on managing a business that buys and sells goods in bulk to retailers. The role involves purchasing, selling, and overseeing business operations, including setting prices, managing demand and supply, and appointing key personnel. The Proprietor is responsible for running wholesale trade, potentially on a monopoly or zonal basis.","The occupation Working Proprietor, Wholesale Trade/Proprietor, Wholesale Trade NCO 2015: 1120.1900, NCO 2004: 1214.30 belongs to division Managers, subdivision Chief Executives, Senior Officials and Legislators, group Managing Directors and Chief Executives, and family Managing Directors and Chief Executives. Description: Working Proprietor, Wholesale Trade focuses on managing a business that buys and sells goods in bulk to retailers. The role involves purchasing, selling, and overseeing business operations, including setting prices, managing demand and supply, and appointing key personnel. The Proprietor is responsible for running wholesale trade, potentially on a monopoly or zonal basis."
22,Account Director ( Advertising Agency),1120.3401,,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"Advertising and Public Relations Manager: This role involves gathering and organizing information related to advertising campaigns. The primary duty is to identify and establish contacts for promotional activities, including dealer, distributor, and consumer outreach. The job also involves reviewing advertising materials and analyzing sales performance to ensure campaign effectiveness.","The occupation Account Director ( Advertising Agency) NCO 2015: 1120.3401, NCO 2004:  belongs to division Managers, subdivision Chief Executives, Senior Officials and Legislators, group Managing Directors and Chief Executives, and family Managing Directors and Chief Executives. Description: Advertising and Public Relations Manager: This role involves gathering and organizing information related to advertising campaigns. The primary duty is to identify and establish contacts for promotional activities, including dealer, distributor, and consumer outreach. The job also involves reviewing advertising materials and analyzing sales performance to ensure campaign effectiveness."
23,"Director, Electricity",1120.04,1211.4,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"Physicist, Electricity and Magnetism conducts theoretical and experimental research in electricity and magnetism. This role involves studying related industrial and technical problems, performing basic tasks like conducting experiments and research across areas like electrostatics, electromagnetism, and electrical engineering. The position focuses on developing theories, formulas, and solutions to practical challenges.","The occupation Director, Electricity NCO 2015: 1120.0400, NCO 2004: 1211.40 belongs to division Managers, subdivision Chief Executives, Senior Officials and Legislators, group Managing Directors and Chief Executives, and family Managing Directors and Chief Executives. Description: Physicist, Electricity and Magnetism conducts theoretical and experimental research in electricity and magnetism. This role involves studying related industrial and technical problems, performing basic tasks like conducting experiments and research across areas like electrostatics, electromagnetism, and electrical engineering. The position focuses on developing theories, formulas, and solutions to practical challenges."
24,"Working Proprietor, Retail Trade/Proprietor, Retail Trade",1120.2,1214.4,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"Managing Director and Chief Executive – This role involves planning and executing retail trade activities, including buying, selling, and managing a retail business. The primary duties encompass overseeing operations, strategic decision-making, and financial management within a retail setting. Key skills include transportation management, business planning, and leadership.","The occupation Working Proprietor, Retail Trade/Proprietor, Retail Trade NCO 2015: 1120.2000, NCO 2004: 1214.40 belongs to division Managers, subdivision Chief Executives, Senior Officials and Legislators, group Managing Directors and Chief Executives, and family Managing Directors and Chief Executives. Description: Managing Director and Chief Executive – This role involves planning and executing retail trade activities, including buying, selling, and managing a retail business. The primary duties encompass overseeing operations, strategic decision-making, and financial management within a retail setting. Key skills include transportation management, business planning, and leadership."
25,Sales Director (Media Org),1120.3402,,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,Sales Executive is responsible for closing sales deals with clients. They manage and schedule advertisement inventory. The role involves generating revenue through client transactions.,"The occupation Sales Director (Media Org) NCO 2015: 1120.3402, NCO 2004:  belongs to division Managers, subdivision Chief Executives, Senior Officials and Legislators, group Managing Directors and Chief Executives, and family Managing Directors and Chief Executives. Description: Sales Executive is responsible for closing sales deals with clients. They manage and schedule advertisement inventory. The role involves generating revenue through client transactions."
26,"Director, Gas",1120.05,1211.5,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"Director, Gas. Supervises outdoor filming locations for film and stage productions. This role includes setting up production areas, coordinating staff, and managing business-related tasks such as payments, material procurement, and transportation. The director specializes in directing various types of films and performances, including mythological, social, or historical works.","The occupation Director, Gas NCO 2015: 1120.0500, NCO 2004: 1211.50 belongs to division Managers, subdivision Chief Executives, Senior Officials and Legislators, group Managing Directors and Chief Executives, and family Managing Directors and Chief Executives. Description: Director, Gas. Supervises outdoor filming locations for film and stage productions. This role includes setting up production areas, coordinating staff, and managing business-related tasks such as payments, material procurement, and transportation. The director specializes in directing various types of films and performances, including mythological, social, or historical works."
27,"Director, Wholesale Trade",1120.21,1214.5,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"Managing Directors and Chief Executives oversee wholesale trade operations. This role involves directing the business, overseeing purchasing, sales, and distribution of goods, ensuring profitability through strategic planning and financial management. Key responsibilities include establishing and maintaining wholesale trade policies, managing a team of professionals, and overseeing business operations across various commodities. The role focuses on expanding business and maintaining profit.","The occupation Director, Wholesale Trade NCO 2015: 1120.2100, NCO 2004: 1214.50 belongs to division Managers, subdivision Chief Executives, Senior Officials and Legislators, group Managing Directors and Chief Executives, and family Managing Directors and Chief Executives. Description: Managing Directors and Chief Executives oversee wholesale trade operations. This role involves directing the business, overseeing purchasing, sales, and distribution of goods, ensuring profitability through strategic planning and financial management. Key responsibilities include establishing and maintaining wholesale trade policies, managing a team of professionals, and overseeing business operations across various commodities. The role focuses on expanding business and maintaining profit."
28,"Working Proprietor, Other Services",1120.35,1219.1,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"Managing Director and Chief Executive. This role involves overseeing the operations of a restaurant, including supervising staff in the kitchen, pantry, and storage areas. The position focuses on ensuring compliance with nutrition and sanitation standards, managing the restaurant’s business activities, and potentially collaborating with staff members. The core responsibilities revolve around the overall management and execution of the restaurant’s operations, specifically concerning entertainment and recreation.","The occupation Working Proprietor, Other Services NCO 2015: 1120.3500, NCO 2004: 1219.10 belongs to division Managers, subdivision Chief Executives, Senior Officials and Legislators, group Managing Directors and Chief Executives, and family Managing Directors and Chief Executives. Description: Managing Director and Chief Executive. This role involves overseeing the operations of a restaurant, including supervising staff in the kitchen, pantry, and storage areas. The position focuses on ensuring compliance with nutrition and sanitation standards, managing the restaurant’s business activities, and potentially collaborating with staff members. The core responsibilities revolve around the overall management and execution of the restaurant’s operations, specifically concerning entertainment and recreation."
29,"Director, Water Supply",1120.06,1211.6,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"Managing Directors and Chief Executives oversees water supply operations, including storage, filtration, and supply. They determine and coordinate activities for public or private organizations involved in this sector. The role supports multiple managers and focuses on efficient operation and strategic planning within defined authority.","The occupation Director, Water Supply NCO 2015: 1120.0600, NCO 2004: 1211.60 belongs to division Managers, subdivision Chief Executives, Senior Officials and Legislators, group Managing Directors and Chief Executives, and family Managing Directors and Chief Executives. Description: Managing Directors and Chief Executives oversees water supply operations, including storage, filtration, and supply. They determine and coordinate activities for public or private organizations involved in this sector. The role supports multiple managers and focuses on efficient operation and strategic planning within defined authority."
30,"Director, Retail Trade",1120.22,1214.6,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"Director, Retail Trade manages the operations of private or public businesses, particularly focused on retail sectors. They establish and enforce policies, oversee the day-to-day activities, and direct the overall management of retail units. Their responsibilities include strategic planning, operational control, and ensuring the efficient functioning of retail operations.","The occupation Director, Retail Trade NCO 2015: 1120.2200, NCO 2004: 1214.60 belongs to division Managers, subdivision Chief Executives, Senior Officials and Legislators, group Managing Directors and Chief Executives, and family Managing Directors and Chief Executives. Description: Director, Retail Trade manages the operations of private or public businesses, particularly focused on retail sectors. They establish and enforce policies, oversee the day-to-day activities, and direct the overall management of retail units. Their responsibilities include strategic planning, operational control, and ensuring the efficient functioning of retail operations."
31,"Director, Other Services",1120.36,1219.2,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"Director, Other Services selects locations for outdoor filming of film. They oversee set construction and staff coordination, managing business operations like payments and material procurement, and potentially specializing in directing specific types of films.","The occupation Director, Other Services NCO 2015: 1120.3600, NCO 2004: 1219.20 belongs to division Managers, subdivision Chief Executives, Senior Officials and Legislators, group Managing Directors and Chief Executives, and family Managing Directors and Chief Executives. Description: Director, Other Services selects locations for outdoor filming of film. They oversee set construction and staff coordination, managing business operations like payments and material procurement, and potentially specializing in directing specific types of films."
32,"Director, Bank",1120.07,1212.1,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"Director, Bank oversees the operations of a bank, coordinating activities across various departments and branches. They are responsible for the management and strategic direction of the bank, working with senior managers and department heads. The role involves delegation of tasks and ensuring the proper execution of activities.","The occupation Director, Bank NCO 2015: 1120.0700, NCO 2004: 1212.10 belongs to division Managers, subdivision Chief Executives, Senior Officials and Legislators, group Managing Directors and Chief Executives, and family Managing Directors and Chief Executives. Description: Director, Bank oversees the operations of a bank, coordinating activities across various departments and branches. They are responsible for the management and strategic direction of the bank, working with senior managers and department heads. The role involves delegation of tasks and ensuring the proper execution of activities."
33,"Working Proprietor, Transport",1120.23,1215.1,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"Working Proprietor, Transport is a Managing Director and Chief Executive focused on transport activities. This role involves planning, organizing, and controlling the overall transport operations of a business, including transporting passengers and freight via various modes of transportation like buses, trucks, taxis, and boats. The position manages all aspects of the transport business, ensuring efficient and reliable service.","The occupation Working Proprietor, Transport NCO 2015: 1120.2300, NCO 2004: 1215.10 belongs to division Managers, subdivision Chief Executives, Senior Officials and Legislators, group Managing Directors and Chief Executives, and family Managing Directors and Chief Executives. Description: Working Proprietor, Transport is a Managing Director and Chief Executive focused on transport activities. This role involves planning, organizing, and controlling the overall transport operations of a business, including transporting passengers and freight via various modes of transportation like buses, trucks, taxis, and boats. The position manages all aspects of the transport business, ensuring efficient and reliable service."
34,"Director, Museum/Zoo",1120.37,1219.3,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"Director of Y.M.C.A. and Y.W.C.A. manages the operations of these institutions, including administering policies, overseeing programs, and coordinating with staff. They formulate strategic plans, manage collections, and engage with stakeholders to ensure the institution’s financial health and continued success. The role involves direct leadership, budget management, grant writing, and staff development.","The occupation Director, Museum/Zoo NCO 2015: 1120.3700, NCO 2004: 1219.30 belongs to division Managers, subdivision Chief Executives, Senior Officials and Legislators, group Managing Directors and Chief Executives, and family Managing Directors and Chief Executives. Description: Director of Y.M.C.A. and Y.W.C.A. manages the operations of these institutions, including administering policies, overseeing programs, and coordinating with staff. They formulate strategic plans, manage collections, and engage with stakeholders to ensure the institution’s financial health and continued success. The role involves direct leadership, budget management, grant writing, and staff development."
